LOCATION,SUBJECT,MEASURE,TIME,VALUE
Germany,TOT,HR_WKD,2019,1372
Germany,TOT,HR_WKD,2020,1319
Germany,TOT,HR_WKD,2021,1340
Germany,TOT,HR_WKD,2022,1340
United Kingdom,TOT,HR_WKD,2019,1537
United Kingdom,TOT,HR_WKD,2020,1364
United Kingdom,TOT,HR_WKD,2021,1498
United Kingdom,TOT,HR_WKD,2022,1531
OECD,TOT,HR_WKD,2019,1766
OECD,TOT,HR_WKD,2020,1687
OECD,TOT,HR_WKD,2021,1744
OECD,TOT,HR_WKD,2022,1751
European Union,TOT,HR_WKD,2019,1592
European Union,TOT,HR_WKD,2020,1505
European Union,TOT,HR_WKD,2021,1560
European Union,TOT,HR_WKD,2022,1570
